=========================================================
   REGISTRO ADQUIRIDO - CÁMARA TÉRMICA INDUSTRIAL
=========================================================

Total de lecturas térmicas: 768 muestras.

LECTURAS DETECTADAS (Secuencial):
Índice	Valor Térmico
0	0 ºC
1	1 ºC
2	2 ºC
3	3 ºC
4	4 ºC
5	5 ºC
6	6 ºC
7	7 ºC
8	8 ºC
9	9 ºC
10	10 ºC
11	11 ºC
12	12 ºC
13	13 ºC
14	14 ºC
15	15 ºC
16	16 ºC
17	17 ºC
18	18 ºC
19	19 ºC
20	20 ºC
21	21 ºC
22	22 ºC
23	23 ºC
24	24 ºC
25	25 ºC
26	26 ºC
27	27 ºC
28	28 ºC
29	29 ºC
30	30 ºC
31	31 ºC
32	32 ºC
33	33 ºC
34	34 ºC
35	35 ºC
36	36 ºC
37	37 ºC
38	38 ºC
39	39 ºC
40	40 ºC
41	41 ºC
42	42 ºC
43	43 ºC
44	44 ºC
45	45 ºC
46	46 ºC
47	47 ºC
48	48 ºC
49	49 ºC
50	50 ºC
51	51 ºC
52	52 ºC
53	53 ºC
54	54 ºC
55	55 ºC
56	56 ºC
57	57 ºC
58	58 ºC
59	59 ºC
60	60 ºC
61	61 ºC
62	62 ºC
63	63 ºC
64	64 ºC
65	65 ºC
66	66 ºC
67	67 ºC
68	68 ºC
69	69 ºC
70	70 ºC
71	71 ºC
72	72 ºC
73	73 ºC
74	74 ºC
75	75 ºC
76	76 ºC
77	77 ºC
78	78 ºC
79	79 ºC
80	80 ºC
81	81 ºC
82	82 ºC
83	83 ºC
84	84 ºC
85	85 ºC
86	86 ºC
87	87 ºC
88	88 ºC
89	89 ºC
90	90 ºC
91	91 ºC
92	92 ºC
93	93 ºC
94	94 ºC
95	95 ºC
96	96 ºC
97	97 ºC
98	98 ºC
99	99 ºC
100	100 ºC
101	101 ºC
102	102 ºC
103	103 ºC
104	104 ºC
105	105 ºC
106	106 ºC
107	107 ºC
108	108 ºC
109	109 ºC
110	110 ºC
111	111 ºC
112	112 ºC
113	113 ºC
114	114 ºC
115	115 ºC
116	116 ºC
117	117 ºC
118	118 ºC
119	119 ºC
120	120 ºC
121	121 ºC
122	122 ºC
123	123 ºC
124	124 ºC
125	125 ºC
126	126 ºC
127	127 ºC
128	128 ºC
129	129 ºC
130	130 ºC
131	131 ºC
132	132 ºC
133	133 ºC
134	134 ºC
135	135 ºC
136	136 ºC
137	137 ºC
138	138 ºC
139	139 ºC
140	140 ºC
141	141 ºC
142	142 ºC
143	143 ºC
144	144 ºC
145	145 ºC
146	146 ºC
147	147 ºC
148	148 ºC
149	149 ºC
150	150 ºC
151	151 ºC
152	152 ºC
153	153 ºC
154	154 ºC
155	155 ºC
156	156 ºC
157	157 ºC
158	158 ºC
159	159 ºC
160	160 ºC
161	161 ºC
162	162 ºC
163	163 ºC
164	164 ºC
165	165 ºC
166	166 ºC
167	167 ºC
168	168 ºC
169	169 ºC
170	170 ºC
171	171 ºC
172	172 ºC
173	173 ºC
174	174 ºC
175	175 ºC
176	176 ºC
177	177 ºC
178	178 ºC
179	179 ºC
180	180 ºC
181	181 ºC
182	182 ºC
183	183 ºC
184	184 ºC
